Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
540645,ICICI Prudential Mutual Fund,IPRU9191,ICICI Prudential Fixed Maturity Plan Series 81-1162 Days Plan P - Direct Plan Cumulative Option,Suspended,F ,10.00,INF109KB11T6, ,MF,-,-,-,-
540646,ICICI Prudential Mutual Fund,IPRU9192,ICICI Prudential Fixed Maturity Plan Series 81-1162 Days Plan P - Direct Plan Dividend Payout Option,Suspended,F ,10.00,INF109KB12T4, ,MF,-,-,-,-
540655,SBI Mutual Fund,DAFXXIIIGR,SBI Dual Advantage Fund - Series XXIII - Regular Plan - Growth,Delisted,F ,10.00,INF200KA1QW0, ,MF,-,-,-,-
540656,SBI Mutual Fund,DAFXXIIIDR,SBI Dual Advantage Fund - Series XXIII - Regular Plan - Dividend (Payout),Delisted,F ,10.00,INF200KA1QX8, ,MF,-,-,-,-
540657,SBI Mutual Fund,DAFXXIIIGD,SBI Dual Advantage Fund - Series XXIII - Direct Plan - Growth,Delisted,F ,10.00,INF200KA1QY6, ,MF,-,-,-,-
540658,SBI Mutual Fund,DAFXXIIIDD,SBI Dual Advantage Fund - Series XXIII - Direct Plan - Dividend Payout,Delisted,F ,10.00,INF200KA1QZ3, ,MF,-,-,-,-
540659,ICICI Prudential Mutual Fund,IPRU2995,ICICI Prudential FMP Series 81-1163 Days Plan Q - Cumulative Option,Suspended,F ,10.00,INF109KB15U5, ,MF,-,-,-,-
540660,ICICI Prudential Mutual Fund,IPRU2996,ICICI Prudential FMP Series 81-1163 Days Plan Q - Dividend Payout Option,Suspended,F ,10.00,INF109KB16U3, ,MF,-,-,-,-
540661,ICICI Prudential Mutual Fund,IPRU9197,ICICI Prudential FMP Series 81-1163 Days Plan Q - Direct Plan Cumulative Option,Suspended,F ,10.00,INF109KB13U0, ,MF,-,-,-,-
540662,ICICI Prudential Mutual Fund,IPRU9198,ICICI Prudential FMP Series 81-1163 Days Plan Q - Direct Plan Dividend Payout Option,Suspended,F ,10.00,INF109KB14U8, ,MF,-,-,-,-
540663,HDFC Mutual Fund,H1430D38DG,HDFC FMP 1430D July 2017 (1) under HDFC FMP-Series 38 - Direct Option - Growth Option,Suspended,F ,10.00,INF179KB1V96, ,MF,-,-,-,-
540664,HDFC Mutual Fund,H1430D38DD,HDFC FMP 1430D July 2017 (1) under HDFC FMP-Series 38-Direct Option-Normal Dividend Option,Suspended,F ,10.00,INF179KB1W04, ,MF,-,-,-,-
540665,HDFC Mutual Fund,H1430D38DQ,HDFC FMP 1430D July 2017 (1) under HDFC FMP-Series 38-Direct Option-Quarterly Dividend Option,Suspended,F ,10.00,INF179KB1W20, ,MF,-,-,-,-
540666,HDFC Mutual Fund,H1430D38RG,HDFC FMP 1430D July 2017 (1) under HDFC FMP-Series 38 - Regular Option - Growth Option,Suspended,F ,10.00,INF179KB1W38, ,MF,-,-,-,-
540667,HDFC Mutual Fund,H1430D38RD,HDFC FMP 1430D July 2017 (1) under HDFC FMP-Series 38-Regular Option-Normal Dividend Option,Suspended,F ,10.00,INF179KB1W46, ,MF,-,-,-,-
540668,HDFC Mutual Fund,H1430D38RQ,HDFC FMP 1430D July 2017 (1) under HDFC FMP-Series 38-Regular Option-Quarterly Dividend Option,Suspended,F ,10.00,INF179KB1W53, ,MF,-,-,-,-
540674,Nippon India Mutual Fund,NXXX1VS10X,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXIVSR10 DIR DIVPAY 20OT20,Suspended,F ,10.00,INF204KB1QK0, ,MF,-,-,-,-
540675,Nippon India Mutual Fund,NXXX1VS10Z,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXIVSR10 DIR GROWTH 20OT20,Delisted,F ,10.00,INF204KB1QJ2, ,MF,-,-,-,-
540676,Nippon India Mutual Fund,NXXX1VS10D,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXIVSR10 REG DV PAY 20OT20,Suspended,F ,10.00,INF204KB1QI4, ,MF,-,-,-,-
540677,Nippon India Mutual Fund,NXXX1VS10G,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXIVSR10 REG GROWTH 20OT20,Delisted,F ,10.00,INF204KB1QH6, ,MF,-,-,-,-
540687,ICICI Prudential Mutual Fund,IPRU2993,ICICI PRUDENTIAL FMP SERIES 81- 1100 DAYS - PLAN R- CUMULATIVE OPTION,Delisted,F ,10.00,INF109KB11U4, ,MF,-,-,-,-
540688,ICICI Prudential Mutual Fund,IPRU2994,ICICI PRUDENTIAL FMP SERIES 81- 1100 DAYS PLAN R- DIVIDEND PAYOUT OPTION,Delisted,F ,10.00,INF109KB12U2, ,MF,-,-,-,-
540689,ICICI Prudential Mutual Fund,IPRU9195,ICICI PRUDENTIAL FMP SERIES 81- 1100 DAYS PLAN R- DIRECT PLAN CUMULATIVE OPTION,Delisted,F ,10.00,INF109KB19T9, ,MF,-,-,-,-
540690,ICICI Prudential Mutual Fund,IPRU9196,ICICI PRUDENTIAL FMP SERIES 81- 1100 DAYS PLAN R- DIRECT PLAN DIVIDEND PAYOUT OPTION,Delisted,F ,10.00,INF109KB10U6, ,MF,-,-,-,-
540705,UTI Mutual Fund,UTDDPDA5P1,UTI DAFTF Series V - I (1103 DAYS) - Direct Plan Dividend Payout,Delisted,F ,10.00,INF789FC1S95, ,MF,-,-,-,-
540706,UTI Mutual Fund,UTDGRDA5P1,UTI DAFTF Series  V - I (1103 DAYS) - Direct Plan Growth,Delisted,F ,10.00,INF789FC1T03, ,MF,-,-,-,-
540707,UTI Mutual Fund,UTRDPDA5P1,UTI DAFTF Series  V - I (1103 DAYS) - Regular Plan Dividend Payout,Delisted,F ,10.00,INF789FC1S79, ,MF,-,-,-,-
540708,UTI Mutual Fund,UTRGRDA5P1,UTI DAFTF Series  V - I (1103 DAYS) - Regular Plan Growth,Delisted,F ,10.00,INF789FC1S87, ,MF,-,-,-,-
540720,Nippon India Mutual Fund,NXXXVS5DD,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXV SR 5 DIR DIVI PA 31OT20,Delisted,F ,10.00,INF204KB1RJ0, ,MF,-,-,-,-
540721,Nippon India Mutual Fund,NXXXVS5DG,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXV SR 5 DIR GROWTH 31OT20,Delisted,F ,10.00,INF204KB1RI2, ,MF,-,-,-,-
540722,Nippon India Mutual Fund,NXXXVS5D,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXV SR 5 REG DIVPAY 31OT20,Delisted,F ,10.00,INF204KB1RH4, ,MF,-,-,-,-
540723,Nippon India Mutual Fund,NXXXVS5G,NIPPON INDIA MUTUAL FUND  FIXED HORIZON FD XXXV SR 5 REG  GROWTH 31OT20,Delisted,F ,10.00,INF204KB1RG6, ,MF,-,-,-,-
540731,SBI Mutual Fund,DAFXXIVGR,SBI Dual Advantage Fund-Series XXIV-Regular Plan Growth Option,Delisted,F ,10.00,INF200KA1RI7, ,MF,-,-,-,-
540732,SBI Mutual Fund,DAFXXIVDR,SBI Dual Advantage Fund-Series XXIV-Regular Plan Dividend Payout Option,Delisted,F ,10.00,INF200KA1RJ5, ,MF,-,-,-,-
540733,SBI Mutual Fund,DAFXXIVGD,SBI Dual Advantage Fund-Series XXIV-Direct Plan Growth Option,Delisted,F ,10.00,INF200KA1RK3, ,MF,-,-,-,-
540734,SBI Mutual Fund,DAFXXIVDD,SBI Dual Advantage Fund-Series XXIV-Direct Plan Dividend Payout Option,Delisted,F ,10.00,INF200KA1RL1, ,MF,-,-,-,-
540745,ICICI Prudential Mutual Fund,IPRU3009,ICICI Prudential CPO Fund Series XII Plan C 1270 Days-  Cumulative,Suspended,F ,10.00,INF109KB15X9, ,MF,-,-,-,-
540746,ICICI Prudential Mutual Fund,IPRU3010,ICICI Prudential CPO Fund Series XII Plan C 1270 Days- Dividend,Suspended,F ,10.00,INF109KB16X7, ,MF,-,-,-,-
540747,ICICI Prudential Mutual Fund,IPRU9211,ICICI Prudential CPO Fund Series XII Plan C 1270 Days- Direct Plan Cumulative,Suspended,F ,10.00,INF109KB13X4, ,MF,-,-,-,-
540748,ICICI Prudential Mutual Fund,IPRU9212,ICICI Prudential CPO Fund Series XII Plan C 1270 Days- Direct Plan Dividend,Suspended,F ,10.00,INF109KB14X2, ,MF,-,-,-,-
540751,ICICI Prudential Mutual Fund,IPRU3011,ICICI Prudential Fixed Maturity Plan Series 81-1100 Days Plan W - Cumulative Option,Delisted,F ,10.00,INF109KB17X5, ,MF,-,-,-,-
540752,ICICI Prudential Mutual Fund,IPRU3012,ICICI Prudential Fixed Maturity Plan Series 81-1100 Days Plan W - Dividend Option,Delisted,F ,10.00,INF109KB18X3, ,MF,-,-,-,-
540753,ICICI Prudential Mutual Fund,IPRU9213,ICICI Prudential Fixed Maturity Plan Series 81-1100 Days Plan W - Direct Plan Cumulative Option,Suspended,F ,10.00,INF109KB19X1, ,MF,-,-,-,-
540754,ICICI Prudential Mutual Fund,IPRU9214,ICICI Prudential Fixed Maturity Plan Series 81-1100 Days Plan W - Direct Plan Dividend Option,Delisted,F ,10.00,INF109KB10Y8, ,MF,-,-,-,-
540770,Nippon India Mutual Fund,NXXXVS6G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR6 DR DVP 20AP21,Delisted,F ,10.00,INF204KB1RZ6, ,MF,-,-,-,-
540771,Nippon India Mutual Fund,NXXXVS6Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR6 DR GWTH 20AP21,Delisted,F ,10.00,INF204KB1RY9, ,MF,-,-,-,-
540772,Nippon India Mutual Fund,NXXXVS6D,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR6 RG DVP 20AP21,Delisted,F ,10.00,INF204KB1RX1, ,MF,-,-,-,-
540773,Nippon India Mutual Fund,NXXXVS6X,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR6 RG GWTH 20AP21,Delisted,F ,10.00,INF204KB1RW3, ,MF,-,-,-,-
540784,Nippon India Mutual Fund,NXXXVS7Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR7 DR GWTH 12MY21,Suspended,F ,10.00,INF204KB1SC3, ,MF,-,-,-,-
540785,Nippon India Mutual Fund,NXXXVS7X,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR7 RG GWTH 12MY21,Suspended,F ,10.00,INF204KB1SA7, ,MF,-,-,-,-
540803,ICICI Prudential Mutual Fund,IPRU3015,ICICI Prudential Fixed Maturity Plan-Series 82 -1236 Days Plan A - Cumulative,Suspended,F ,10.00,INF109KB10Z5, ,MF,-,-,-,-
540804,ICICI Prudential Mutual Fund,IPRU3016,ICICI Prudential Fixed Maturity Plan-Series 82 -1236 Days Plan A - Quarterly Dividend Payout,Suspended,F ,10.00,INF109KB12Z1, ,MF,-,-,-,-
540805,ICICI Prudential Mutual Fund,IPRU3017,ICICI Prudential Fixed Maturity Plan-Series 82 -1236 Days Plan A - Half yearly Dividend Payout,Suspended,F ,10.00,INF109KB11Z3, ,MF,-,-,-,-
540806,ICICI Prudential Mutual Fund,IPRU9217,ICICI Prudential Fixed Maturity Plan-Series 82 -1236 Days Plan A - Direct Plan  Cumulative,Suspended,F ,10.00,INF109KB13Z9, ,MF,-,-,-,-
540807,ICICI Prudential Mutual Fund,IPRU9218,ICICI Prudential Fixed Maturity Plan-Series 82 -1236 Days Plan A - Direct Plan Quarterl,Suspended,F ,10.00,INF109KB15Z4, ,MF,-,-,-,-
540808,ICICI Prudential Mutual Fund,IPRU9219,ICICI Prudential Fixed Maturity Plan-Series 82 -1236 Days Plan A - Direct Plan Half Yearly Dividen,Suspended,F ,10.00,INF109KB14Z7, ,MF,-,-,-,-
540813,Nippon India Mutual Fund,NXXXVS9G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR9 DR DVP 19AG21,Suspended,F ,10.00,INF204KB1SL4, ,MF,-,-,-,-
540814,Nippon India Mutual Fund,NXXXVS9Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR9 DR GWTH 19AG21,Suspended,F ,10.00,INF204KB1SK6, ,MF,-,-,-,-
540815,Nippon India Mutual Fund,NXXXVS9D,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR9 RG DVP 19AG21,Suspended,F ,10.00,INF204KB1SJ8, ,MF,-,-,-,-
540816,Nippon India Mutual Fund,NXXXVS9X,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR9 RG GWTH 19AG21,Suspended,F ,10.00,INF204KB1SI0, ,MF,-,-,-,-
540817,Nippon India Mutual Fund,NXXXVS11G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR11 DR DVP 10MY21,Suspended,F ,10.00,INF204KB1SX9, ,MF,-,-,-,-
540818,Nippon India Mutual Fund,NXXXVS11Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR11 DR GWTH 10MY21,Suspended,F ,10.00,INF204KB1SW1, ,MF,-,-,-,-
540819,Nippon India Mutual Fund,NXXXVS11D,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR11 RG DVP 10MY21,Suspended,F ,10.00,INF204KB1SV3, ,MF,-,-,-,-
540820,Nippon India Mutual Fund,NXXXVS11X,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR11 RG GWTH 10MY21,Suspended,F ,10.00,INF204KB1SU5, ,MF,-,-,-,-
540830,ICICI Prudential Mutual Fund,IPRU3020,ICICI PRUDENTIAL FIXED MATURITY PLAN SERIES 82 - 1225 DAYS PLAN B - CUMULATIVE OPTION,Suspended,F ,10.00,INF109KC1010, ,MF,-,-,-,-
540831,ICICI Prudential Mutual Fund,IPRU3021,ICICI PRUDENTIAL FIXED MATURITY PLAN SERIES 82 - 1225 DAYS PLAN B - QUARTERLY DIVIDEND PAYOUT OPTION,Suspended,F ,10.00,INF109KC1028, ,MF,-,-,-,-
540832,ICICI Prudential Mutual Fund,IPRU3022,ICICI PRUDENTIAL FIXED MATURITY PLAN SERIES 82 - 1225 DAYS PLAN B - HALF YEARLY DIVIDEND PAYOUT,Suspended,F ,10.00,INF109KC1036, ,MF,-,-,-,-
540833,ICICI Prudential Mutual Fund,IPRU9222,ICICI PRUDENTIAL FIXED MATURITY PLAN SERIES 82 - 1225 DAYS PLAN B - DIRECT PLAN CUMULATIVE OPTION,Suspended,F ,10.00,INF109KC1044, ,MF,-,-,-,-
540834,ICICI Prudential Mutual Fund,IPRU9223,ICICI PRUDENTIAL FIXED MATURITY PLAN SERIES 82 - 1225 DAYS PLAN B - DIRECT PLAN QUARTERLY DIVIDEND,Suspended,F ,10.00,INF109KC1051, ,MF,-,-,-,-
540835,ICICI Prudential Mutual Fund,IPRU9224,ICICI PRUDENTIAL FIXED MATURITY PLAN SERIES 82 - 1225 DAYS PLAN B - DIRECT PLAN HALF YEARLY DIVIDEND,Suspended,F ,10.00,INF109KC1069, ,MF,-,-,-,-
540836,Nippon India Mutual Fund,NXXXVS12G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR12 DR DVP 10MY21,Suspended,F ,10.00,INF204KB1TB3, ,MF,-,-,-,-
540837,Nippon India Mutual Fund,NXXXVS12Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR12 DR GWTH 10MY21,Suspended,F ,10.00,INF204KB1TA5, ,MF,-,-,-,-
540838,Nippon India Mutual Fund,NXXXVS12X,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR12 RG GWTH 10MY21,Suspended,F ,10.00,INF204KB1SY7, ,MF,-,-,-,-
540839,SBI Mutual Fund,SDFSC7GR,SBI DEBT FUND SERIES C - 7 (1190 DAYS) REGULAR PLAN - GROWTH,Delisted,F ,10.00,INF200KA1RY4, ,MF,-,-,-,-
540840,SBI Mutual Fund,SDFSC7DR,SBI DEBT FUND SERIES C - 7 (1190 DAYS) REGULAR PLAN - DIVIDEND PAYOUT,Delisted,F ,10.00,INF200KA1RZ1, ,MF,-,-,-,-
540841,SBI Mutual Fund,SDFSC7GD,SBI DEBT FUND SERIES C - 7 (1190 DAYS) - DIRECT PLAN - GROWTH,Delisted,F ,10.00,INF200KA1SA2, ,MF,-,-,-,-
540842,SBI Mutual Fund,SDFSC7DD,SBI DEBT FUND SERIES C - 7 (1190 DAYS) DIRECT PLAN - DIVIDEND PAYOUT,Delisted,F ,10.00,INF200KA1SB0, ,MF,-,-,-,-
540844,ICICI Prudential Mutual Fund,IPRU3025,ICICI PRUDENTIAL FIXED MATURITY PLAN - SERIES 82 - 1217 DAYS PLAN C - CUMULATIVE,Suspended,F ,10.00,INF109KC1119, ,MF,-,-,-,-
540845,ICICI Prudential Mutual Fund,IPRU3026,ICICI PRUDENTIAL FIXED MATURITY PLAN - SERIES 82 - 1217 DAYS PLAN C - QTRLY DIVIDEND PAYOUT,Suspended,F ,10.00,INF109KC1135, ,MF,-,-,-,-
540846,ICICI Prudential Mutual Fund,IPRU3027,ICICI PRUDENTIAL FIXED MATURITY PLAN - SERIES 82 - 1217 DAYS PLAN C - HALF YEARLY DIVIDEND PAYOUT,Suspended,F ,10.00,INF109KC1127, ,MF,-,-,-,-
540847,ICICI Prudential Mutual Fund,IPRU9227,ICICI PRUDENTIAL FIXED MATURITY PLAN - SERIES 82 - 1217 DAYS PLAN C - DIRECT PLAN CUMULATIVE,Suspended,F ,10.00,INF109KC1143, ,MF,-,-,-,-
540848,ICICI Prudential Mutual Fund,IPRU9228,ICICI PRUDENTIAL FIXED MATURITY PLAN - SERIES 82 - 1217 DAYS PLAN C - DIRECT PLAN QTLY DIVIDEN,Suspended,F ,10.00,INF109KC1168, ,MF,-,-,-,-
540849,ICICI Prudential Mutual Fund,IPRU9229,ICICI PRUDENTIAL FIXED MATURITY PLAN - SERIES 82 - 1217 DAYS PLAN C - DIRECT PLAN HALF YEARLY DIVID,Suspended,F ,10.00,INF109KC1150, ,MF,-,-,-,-
540851,Nippon India Mutual Fund,NXXXVS13G,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR13 DR DVP 10MY21,Suspended,F ,10.00,INF204KB1TF4, ,MF,-,-,-,-
540852,Nippon India Mutual Fund,NXXXVS13Z,NIPPON INDIA MUTUAL FUND  FIXED HORI FD XXXV SR13 DR GWTH 10MY21,Suspended,F ,10.00,INF204KB1TE7, ,MF,-,-,-,-
