Date,Open,High,Low,Close,Adj Close,Volume
2020-04-09,95.0,100.0,95.0,100.0,100.0,60
2020-04-13,105.0,105.0,95.0,105.0,105.0,192
2020-04-15,105.0,110.0,100.0,110.0,110.0,258
2020-04-16,115.0,115.0,110.0,115.0,115.0,488
2020-04-17,115.0,120.0,110.0,120.0,120.0,109
2020-04-20,125.0,125.0,125.0,125.0,125.0,137
2020-04-21,130.0,130.0,130.0,130.0,130.0,101
2020-04-22,135.0,135.0,135.0,135.0,135.0,102
2020-04-23,140.0,140.0,140.0,140.0,140.0,179
2020-04-24,140.0,145.0,135.0,140.0,140.0,448
2020-04-27,145.0,145.0,145.0,145.0,145.0,156
2020-04-28,150.0,150.0,150.0,150.0,150.0,196
2020-04-29,155.0,155.0,155.0,155.0,155.0,309
2020-04-30,160.0,160.0,160.0,160.0,160.0,138
2020-05-04,165.0,165.0,165.0,165.0,165.0,234
2020-05-05,170.0,170.0,170.0,170.0,170.0,684
2020-05-06,175.0,175.0,175.0,175.0,175.0,628
2020-05-07,180.0,180.0,180.0,180.0,180.0,152
2020-05-08,185.0,185.0,185.0,185.0,185.0,167
2020-05-11,190.0,190.0,185.0,190.0,190.0,248
2020-05-12,195.0,195.0,195.0,195.0,195.0,344
2020-05-13,200.0,200.0,200.0,200.0,200.0,90
2020-05-14,210.0,210.0,210.0,210.0,210.0,334
2020-05-15,220.0,220.0,220.0,220.0,220.0,244
2020-05-18,230.0,230.0,230.0,230.0,230.0,597
2020-05-19,240.0,240.0,240.0,240.0,240.0,372
2020-05-20,250.0,250.0,250.0,250.0,250.0,695
2020-05-21,260.0,260.0,260.0,260.0,260.0,95
2020-05-22,270.0,270.0,270.0,270.0,270.0,307
2020-05-26,280.0,280.0,260.0,260.0,260.0,664
2020-05-27,250.0,250.0,250.0,250.0,250.0,330
2020-05-28,240.0,240.0,240.0,240.0,240.0,310
2020-05-29,230.0,230.0,230.0,230.0,230.0,76
2020-06-01,220.0,220.0,220.0,220.0,220.0,342
2020-06-02,210.0,210.0,210.0,210.0,210.0,221
2020-06-03,200.0,200.0,200.0,200.0,200.0,350
2020-06-04,190.0,190.0,190.0,190.0,190.0,261
2020-06-05,185.0,185.0,185.0,185.0,185.0,1105
2020-06-08,180.0,190.0,180.0,190.0,190.0,1306
2020-06-09,195.0,195.0,195.0,195.0,195.0,117
2020-06-10,200.0,200.0,200.0,200.0,200.0,228
2020-06-11,210.0,210.0,210.0,210.0,210.0,412
2020-06-12,220.0,220.0,220.0,220.0,220.0,503
2020-06-15,230.0,230.0,230.0,230.0,230.0,431
2020-06-16,240.0,240.0,240.0,240.0,240.0,551
2020-06-17,250.0,250.0,250.0,250.0,250.0,543
2020-06-18,260.0,260.0,260.0,260.0,260.0,318
2020-06-19,270.0,270.0,270.0,270.0,270.0,492
2020-06-22,280.0,280.0,280.0,280.0,280.0,347
2020-06-23,290.0,290.0,290.0,290.0,290.0,786
2020-06-24,300.0,300.0,300.0,300.0,300.0,392
2020-06-25,315.0,315.0,315.0,315.0,315.0,316
2020-06-26,330.0,330.0,330.0,330.0,330.0,135
2020-06-29,345.0,345.0,345.0,345.0,345.0,407
2020-06-30,360.0,360.0,360.0,360.0,360.0,155
2020-07-01,375.0,375.0,345.0,345.0,345.0,1617
2020-07-02,330.0,330.0,330.0,330.0,330.0,470
2020-07-03,315.0,315.0,315.0,315.0,315.0,257
2020-07-06,300.0,300.0,300.0,300.0,300.0,98
2020-07-07,285.0,285.0,285.0,285.0,285.0,236
2020-07-08,275.0,275.0,275.0,275.0,275.0,412
2020-07-09,265.0,265.0,265.0,265.0,265.0,230
2020-07-10,255.0,265.0,255.0,255.0,255.0,710
2020-07-13,245.0,245.0,245.0,245.0,245.0,345
2020-07-14,240.0,255.0,235.0,235.0,235.0,658
2020-07-15,245.0,245.0,225.0,240.0,240.0,766
2020-07-16,250.0,250.0,230.0,245.0,245.0,540
2020-07-17,255.0,255.0,235.0,240.0,240.0,366
2020-07-20,240.0,245.0,230.0,240.0,240.0,296
2020-07-21,240.0,240.0,230.0,235.0,235.0,246
2020-07-22,245.0,245.0,225.0,230.0,230.0,358
2020-07-23,230.0,235.0,220.0,225.0,225.0,325
2020-07-24,235.0,235.0,215.0,235.0,235.0,526
2020-07-27,235.0,240.0,225.0,230.0,230.0,258
2020-07-28,220.0,240.0,220.0,230.0,230.0,307
2020-07-29,235.0,235.0,220.0,220.0,220.0,361
2020-07-30,220.0,230.0,210.0,210.0,210.0,522
2020-07-31,210.0,220.0,205.0,215.0,215.0,174
2020-08-03,210.0,225.0,205.0,210.0,210.0,198
2020-08-04,220.0,220.0,205.0,220.0,220.0,328
2020-08-05,220.0,230.0,220.0,225.0,225.0,250
2020-08-06,235.0,235.0,230.0,235.0,235.0,276
2020-08-07,245.0,245.0,235.0,245.0,245.0,350
2020-08-10,245.0,255.0,245.0,255.0,255.0,213
2020-08-11,265.0,265.0,245.0,260.0,260.0,523
2020-08-12,260.0,270.0,250.0,270.0,270.0,443
2020-08-13,280.0,280.0,275.0,280.0,280.0,163
2020-08-14,290.0,290.0,280.0,280.0,280.0,365
2020-08-17,280.0,290.0,270.0,275.0,275.0,581
2020-08-18,265.0,265.0,265.0,265.0,265.0,511
2020-08-19,255.0,275.0,255.0,275.0,275.0,331
2020-08-20,285.0,285.0,275.0,285.0,285.0,499
2020-08-21,290.0,295.0,275.0,290.0,290.0,630
2020-08-24,290.0,300.0,280.0,285.0,285.0,318
2020-08-25,275.0,285.0,275.0,280.0,280.0,255
2020-08-26,285.0,290.0,270.0,285.0,285.0,583
2020-08-27,295.0,295.0,275.0,280.0,280.0,391
2020-08-28,270.0,285.0,270.0,285.0,285.0,582
2020-08-31,295.0,295.0,275.0,275.0,275.0,470
2020-09-01,275.0,285.0,265.0,275.0,275.0,276
2020-09-02,280.0,280.0,265.0,265.0,265.0,91
2020-09-03,260.0,270.0,260.0,270.0,270.0,208
2020-09-04,260.0,270.0,260.0,270.0,270.0,340
2020-09-07,260.0,270.0,260.0,265.0,265.0,148
2020-09-08,255.0,270.0,255.0,260.0,260.0,165
2020-09-09,260.0,270.0,250.0,250.0,250.0,488
2020-09-10,250.0,260.0,250.0,260.0,260.0,220
2020-09-11,270.0,270.0,250.0,250.0,250.0,261
2020-09-14,260.0,260.0,245.0,250.0,250.0,445
2020-09-15,260.0,260.0,240.0,250.0,250.0,75
2020-09-16,260.0,260.0,240.0,255.0,255.0,142
2020-09-17,260.0,260.0,245.0,260.0,260.0,200
2020-09-18,250.0,260.0,250.0,255.0,255.0,155
2020-09-21,250.0,260.0,245.0,260.0,260.0,213
2020-09-22,250.0,255.0,250.0,250.0,250.0,224
2020-09-23,250.0,250.0,240.0,245.0,245.0,315
2020-09-24,240.0,245.0,235.0,235.0,235.0,166
2020-09-25,235.0,245.0,225.0,235.0,235.0,64
2020-09-28,230.0,245.0,225.0,240.0,240.0,85
2020-09-29,250.0,250.0,230.0,235.0,235.0,119
2020-09-30,225.0,245.0,225.0,245.0,245.0,71
2020-10-01,255.0,255.0,235.0,240.0,240.0,189
2020-10-05,235.0,250.0,235.0,245.0,245.0,87
2020-10-06,245.0,250.0,235.0,235.0,235.0,174
2020-10-07,245.0,245.0,225.0,240.0,240.0,382
2020-10-08,230.0,235.0,230.0,230.0,230.0,179
2020-10-09,230.0,240.0,220.0,240.0,240.0,147
2020-10-12,230.0,250.0,230.0,230.0,230.0,127
2020-10-13,235.0,240.0,225.0,235.0,235.0,42
2020-10-14,240.0,240.0,225.0,230.0,230.0,211
2020-10-15,220.0,235.0,220.0,220.0,220.0,260
2020-10-16,215.0,230.0,210.0,230.0,230.0,569
2020-10-19,225.0,240.0,220.0,240.0,240.0,514
2020-10-20,230.0,240.0,230.0,235.0,235.0,52
2020-10-21,235.0,235.0,225.0,230.0,230.0,281
2020-10-22,240.0,240.0,235.0,240.0,240.0,642
2020-10-23,250.0,250.0,230.0,245.0,245.0,733
2020-10-26,255.0,255.0,255.0,255.0,255.0,112
2020-10-27,265.0,265.0,245.0,260.0,260.0,360
2020-10-28,265.0,265.0,250.0,255.0,255.0,211
2020-10-29,250.0,260.0,250.0,255.0,255.0,81
2020-10-30,245.0,260.0,245.0,255.0,255.0,37
2020-11-02,250.0,255.0,245.0,245.0,245.0,206
2020-11-03,235.0,255.0,235.0,250.0,250.0,259
2020-11-04,245.0,255.0,240.0,255.0,255.0,68
2020-11-05,245.0,265.0,245.0,255.0,255.0,229
2020-11-06,260.0,260.0,245.0,250.0,250.0,113
2020-11-09,245.0,255.0,245.0,250.0,250.0,120
2020-11-10,250.0,250.0,240.0,250.0,250.0,184
2020-11-11,250.0,250.0,240.0,250.0,250.0,118
2020-11-12,245.0,255.0,240.0,250.0,250.0,202
2020-11-13,250.0,250.0,240.0,250.0,250.0,92
2020-11-14,240.0,250.0,240.0,250.0,250.0,23
2020-11-17,250.0,260.0,240.0,260.0,260.0,852
2020-11-18,260.0,270.0,250.0,265.0,265.0,321
2020-11-19,275.0,275.0,255.0,265.0,265.0,515
2020-11-20,255.0,265.0,255.0,260.0,260.0,196
2020-11-23,265.0,265.0,250.0,255.0,255.0,621
2020-11-24,255.0,260.0,245.0,245.0,245.0,527
2020-11-25,240.0,255.0,240.0,240.0,240.0,152
2020-11-26,230.0,245.0,230.0,245.0,245.0,123
2020-11-27,255.0,255.0,235.0,255.0,255.0,336
2020-12-01,255.0,255.0,245.0,250.0,250.0,357
2020-12-02,255.0,255.0,240.0,250.0,250.0,221
2020-12-03,250.0,255.0,240.0,255.0,255.0,451
2020-12-04,250.0,260.0,245.0,260.0,260.0,345
2020-12-07,260.0,270.0,250.0,270.0,270.0,786
2020-12-08,280.0,280.0,270.0,280.0,280.0,415
2020-12-09,290.0,290.0,280.0,290.0,290.0,463
2020-12-10,300.0,300.0,280.0,295.0,295.0,640
2020-12-11,300.0,305.0,295.0,305.0,305.0,750
2020-12-14,320.0,320.0,290.0,320.0,320.0,1108
2020-12-15,335.0,335.0,335.0,335.0,335.0,524
2020-12-16,345.0,350.0,345.0,350.0,350.0,855
2020-12-17,365.0,365.0,335.0,335.0,335.0,1590
2020-12-18,335.0,335.0,320.0,320.0,320.0,233
2020-12-21,305.0,335.0,305.0,310.0,310.0,698
2020-12-22,320.0,320.0,295.0,295.0,295.0,239
2020-12-23,305.0,305.0,285.0,295.0,295.0,274
2020-12-24,290.0,305.0,290.0,300.0,300.0,390
2020-12-28,285.0,315.0,285.0,315.0,315.0,357
2020-12-29,330.0,330.0,310.0,330.0,330.0,440
2020-12-30,330.0,345.0,315.0,325.0,325.0,482
2020-12-31,320.0,340.0,315.0,320.0,320.0,303
2021-01-01,320.0,335.0,310.0,335.0,335.0,131
2021-01-04,335.0,350.0,320.0,320.0,320.0,607
2021-01-05,320.0,335.0,320.0,330.0,330.0,959
2021-01-06,345.0,345.0,325.0,330.0,330.0,380
2021-01-07,345.0,345.0,330.0,335.0,335.0,460
2021-01-08,320.0,350.0,320.0,345.0,345.0,438
2021-01-11,360.0,360.0,335.0,355.0,355.0,718
2021-01-12,360.0,360.0,340.0,345.0,345.0,279
2021-01-13,345.0,355.0,330.0,330.0,330.0,800
2021-01-14,330.0,335.0,315.0,320.0,320.0,392
2021-01-15,335.0,335.0,305.0,320.0,320.0,553
2021-01-18,320.0,330.0,305.0,310.0,310.0,520
2021-01-19,300.0,320.0,295.0,315.0,315.0,405
2021-01-20,325.0,325.0,300.0,315.0,315.0,505
2021-01-21,320.0,320.0,300.0,300.0,300.0,385
2021-01-22,300.0,305.0,285.0,295.0,295.0,263
2021-01-25,305.0,305.0,285.0,285.0,285.0,290
2021-01-27,285.0,295.0,275.0,290.0,290.0,372
2021-01-28,280.0,290.0,280.0,285.0,285.0,291
2021-01-29,285.0,295.0,285.0,295.0,295.0,66
2021-02-01,305.0,305.0,290.0,290.0,290.0,222
2021-02-02,290.0,300.0,280.0,295.0,295.0,687
2021-02-03,290.0,300.0,290.0,290.0,290.0,454
2021-02-04,280.0,300.0,280.0,295.0,295.0,414
2021-02-05,305.0,305.0,285.0,295.0,295.0,294
2021-02-08,305.0,305.0,285.0,290.0,290.0,562
2021-02-09,280.0,300.0,280.0,280.0,280.0,644
2021-02-10,285.0,285.0,270.0,275.0,275.0,693
2021-02-11,275.0,280.0,265.0,275.0,275.0,303
2021-02-12,280.0,280.0,265.0,275.0,275.0,456
2021-02-15,265.0,285.0,265.0,285.0,285.0,521
2021-02-16,275.0,295.0,275.0,280.0,280.0,362
2021-02-17,280.0,285.0,275.0,285.0,285.0,240
2021-02-18,285.0,290.0,275.0,280.0,280.0,325
2021-02-19,290.0,290.0,275.0,285.0,285.0,211
2021-02-22,290.0,290.0,275.0,280.0,280.0,205
2021-02-23,275.0,280.0,270.0,275.0,275.0,401
2021-02-24,270.0,275.0,265.0,275.0,275.0,181
2021-02-25,275.0,275.0,265.0,270.0,270.0,202
2021-02-26,270.0,275.0,265.0,275.0,275.0,307
2021-03-01,270.0,280.0,265.0,270.0,270.0,366
2021-03-02,275.0,275.0,265.0,265.0,265.0,451
2021-03-03,270.0,275.0,265.0,270.0,270.0,774
2021-03-04,280.0,280.0,265.0,275.0,275.0,203
2021-03-05,280.0,280.0,265.0,270.0,270.0,366
2021-03-08,270.0,280.0,265.0,270.0,270.0,267
2021-03-09,275.0,275.0,260.0,275.0,275.0,391
2021-03-10,280.0,280.0,265.0,270.0,270.0,213
2021-03-12,270.0,270.0,260.0,260.0,260.0,542
2021-03-15,260.0,265.0,250.0,255.0,255.0,454
2021-03-16,245.0,260.0,245.0,255.0,255.0,171
2021-03-17,245.0,260.0,245.0,250.0,250.0,160
2021-03-18,240.0,255.0,240.0,240.0,240.0,526
2021-03-19,230.0,240.0,230.0,230.0,230.0,188
2021-03-22,235.0,235.0,225.0,230.0,230.0,366
2021-03-23,220.0,235.0,220.0,230.0,230.0,378
2021-03-24,220.0,230.0,220.0,225.0,225.0,312
2021-03-25,220.0,230.0,215.0,220.0,220.0,295
2021-03-26,220.0,220.0,210.0,215.0,215.0,125
2021-03-30,215.0,220.0,205.0,205.0,205.0,354
2021-03-31,210.0,215.0,205.0,205.0,205.0,212
2021-04-01,200.0,215.0,200.0,210.0,210.0,387
2021-04-05,220.0,220.0,205.0,220.0,220.0,233
2021-04-06,215.0,230.0,215.0,225.0,225.0,456
2021-04-07,230.0,235.0,220.0,225.0,225.0,473
2021-04-08,220.0,230.0,220.0,230.0,230.0,254
2021-04-09,235.0,235.0,225.0,230.0,230.0,525
2021-04-12,230.0,230.0,220.0,220.0,220.0,21
2021-04-13,215.0,225.0,215.0,220.0,220.0,117
2021-04-15,215.0,225.0,215.0,220.0,220.0,109
2021-04-16,215.0,225.0,215.0,215.0,215.0,250
2021-04-19,205.0,205.0,205.0,205.0,205.0,383
2021-04-20,195.0,205.0,195.0,200.0,200.0,560
2021-04-22,190.0,205.0,190.0,200.0,200.0,255
2021-04-23,205.0,205.0,190.0,200.0,200.0,400
2021-04-26,200.0,205.0,190.0,190.0,190.0,523
2021-04-27,190.0,195.0,185.0,195.0,195.0,362
2021-04-28,200.0,200.0,190.0,200.0,200.0,256
2021-04-29,200.0,200.0,190.0,200.0,200.0,296
2021-04-30,200.0,200.0,190.0,200.0,200.0,200
2021-05-03,200.0,200.0,195.0,200.0,200.0,107
2021-05-04,200.0,210.0,190.0,200.0,200.0,648
2021-05-05,210.0,210.0,195.0,210.0,210.0,160
2021-05-06,220.0,220.0,210.0,210.0,210.0,190
2021-05-07,205.0,220.0,205.0,210.0,210.0,246
2021-05-10,220.0,220.0,210.0,220.0,220.0,511
2021-05-11,230.0,230.0,215.0,230.0,230.0,588
2021-05-12,240.0,240.0,225.0,240.0,240.0,469
2021-05-14,245.0,250.0,235.0,250.0,250.0,529
2021-05-17,240.0,260.0,240.0,260.0,260.0,491
2021-05-18,270.0,270.0,265.0,270.0,270.0,334
2021-05-19,280.0,280.0,270.0,275.0,275.0,520
2021-05-20,270.0,285.0,270.0,280.0,280.0,317
2021-05-21,290.0,290.0,275.0,290.0,290.0,1120
2021-05-24,300.0,300.0,280.0,300.0,300.0,1643
2021-05-25,300.0,310.0,285.0,305.0,305.0,1015
2021-05-26,315.0,315.0,290.0,310.0,310.0,1033
2021-05-27,315.0,315.0,300.0,310.0,310.0,417
2021-05-28,310.0,315.0,295.0,300.0,300.0,726
2021-05-31,300.0,310.0,290.0,295.0,295.0,704
2021-06-01,305.0,305.0,285.0,305.0,305.0,741
2021-06-02,315.0,315.0,290.0,305.0,305.0,814
2021-06-03,305.0,320.0,290.0,315.0,315.0,1550
2021-06-04,325.0,330.0,310.0,330.0,330.0,651
2021-06-07,345.0,345.0,330.0,345.0,345.0,613
2021-06-08,360.0,360.0,360.0,360.0,360.0,280
2021-06-09,375.0,375.0,375.0,375.0,375.0,612
2021-06-10,390.0,390.0,390.0,390.0,390.0,347
2021-06-11,400.0,405.0,400.0,405.0,405.0,307
2021-06-14,425.0,425.0,385.0,425.0,425.0,2078
2021-06-15,425.0,445.0,425.0,445.0,445.0,1097
2021-06-16,465.0,465.0,465.0,465.0,465.0,881
2021-06-17,485.0,485.0,470.0,485.0,485.0,1073
2021-06-18,505.0,505.0,465.0,470.0,470.0,2523
2021-06-21,475.0,490.0,450.0,450.0,450.0,1160
2021-06-22,430.0,430.0,430.0,430.0,430.0,804
2021-06-23,430.0,430.0,410.0,410.0,410.0,1076
2021-06-24,400.0,400.0,390.0,390.0,390.0,263
2021-06-25,375.0,375.0,375.0,375.0,375.0,497
2021-06-28,360.0,390.0,360.0,390.0,390.0,570
2021-06-29,390.0,405.0,375.0,385.0,385.0,879
2021-06-30,370.0,395.0,370.0,370.0,370.0,595
2021-07-01,380.0,385.0,355.0,360.0,360.0,513
2021-07-02,365.0,375.0,365.0,375.0,375.0,293
2021-07-05,375.0,390.0,375.0,390.0,390.0,259
2021-07-06,405.0,405.0,400.0,405.0,405.0,436
2021-07-07,405.0,420.0,385.0,395.0,395.0,536
2021-07-08,405.0,405.0,380.0,385.0,385.0,312
2021-07-09,395.0,400.0,370.0,385.0,385.0,483
2021-07-12,400.0,400.0,375.0,400.0,400.0,502
2021-07-13,420.0,420.0,400.0,415.0,415.0,573
2021-07-14,435.0,435.0,400.0,415.0,415.0,372
2021-07-15,430.0,430.0,395.0,400.0,400.0,260
2021-07-16,385.0,410.0,380.0,395.0,395.0,429
2021-07-19,400.0,400.0,380.0,395.0,395.0,245
2021-07-20,385.0,400.0,380.0,385.0,385.0,299
2021-07-22,385.0,400.0,385.0,390.0,390.0,292
2021-07-23,380.0,400.0,375.0,380.0,380.0,437
2021-07-26,390.0,390.0,365.0,365.0,365.0,485
2021-07-27,370.0,375.0,350.0,350.0,350.0,648
2021-07-28,350.0,365.0,335.0,340.0,340.0,1463
2021-07-29,350.0,350.0,330.0,335.0,335.0,286
2021-07-30,325.0,345.0,320.0,325.0,325.0,354
2021-08-02,335.0,340.0,320.0,340.0,340.0,166
2021-08-03,340.0,355.0,340.0,345.0,345.0,201
2021-08-04,355.0,355.0,335.0,340.0,340.0,148
2021-08-05,330.0,345.0,325.0,335.0,335.0,201
2021-08-06,335.0,335.0,320.0,330.0,330.0,199
2021-08-09,335.0,335.0,315.0,315.0,315.0,322
2021-08-10,310.0,315.0,300.0,300.0,300.0,163
2021-08-11,285.0,300.0,285.0,295.0,295.0,284
2021-08-12,290.0,295.0,285.0,290.0,290.0,214
